,display_size,Resolution,Processor,RAM,Hard_Drive,Battery_Life,Price,Brand,Weight,Color,Processor_Brand,Processor_Count
33,11.6,1366 x 768 Pixels,1.1,4.0,128.0,10.0,205.0,Lenovo,2.0,Black,Intel,1.0
34,15.6,1366 x 768 Pixels,1.0,8.0,256.0,7.0,579.0,Dell,4.0,Black,Intel,4.0
35,15.6,1920 x 1080 Pixels,1.1,16.0,128.0,7.0,479.99,HP,3.0,Silver,Intel,2.0
36,15.6,1920 x 1080 Pixels,4.2,16.0,256.0,7.0,719.99,HP,3.0,Silver,Intel,4.0
37,14.0,1366 x 768 Pixels,2.8,4.0,64.0,14.0,369.92,HP,4.0,Gold,Intel,2.0
38,15.6,1920 x 1080 Pixels,1.1,8.0,128.0,7.0,439.0,HP,3.0,Black,Intel,2.0
39,15.6,1920 x 1080 Pixels,1.2,20.0,512.0,5.0,525.99,ASUS,3.0,Gray,Intel,2.0
40,14.0,1366 x 768 Pixels,2.7,8.0,128.0,9.0,279.0,BiTECOOL,2.0,Silver,Intel,2.0
41,15.6,1920 x 1080 Pixels,2.0,8.0,512.0,7.0,659.0,HP,4.0,Silver,AMD,8.0
42,11.6,1366 x 768 Pixels,2.0,4.0,32.0,3.0,219.9,HP,2.0,White,Intel,8.0
43,15.6,1920 x 1080 Pixels,1.1,16.0,256.0,7.0,399.99,HP,5.0,Silver,Intel,2.0
44,15.6,1366 x 768 Pixels,2.8,16.0,128.0,7.0,559.99,Dell,3.0,Silver,Intel,4.0
45,14.0,1366 x 768 Pixels,3.2,8.0,128.0,7.0,419.0,HP,3.0,Silver,AMD,2.0
46,14.0,1366 x 768 Pixels,1.1,4.0,64.0,14.0,285.0,HP,3.0,Black,Intel,2.0
47,14.0,1920 x 1080 Pixels,1.9,16.0,512.0,12.0,1003.25,Acer,3.0,Gold,AMD,8.0
48,15.6,1920 x 1080 Pixels,9.0,12.0,256.0,7.0,639.0,Dell,1.0,Silver,Intel,4.0
49,15.6,1366 x 768 Pixels,2.8,8.0,256.0,7.0,439.0,Dell,3.0,Black,Intel,2.0
50,15.6,1920 x 1080 Pixels,2.4,8.0,256.0,7.0,429.0,Lenovo,3.0,Almond,Intel,2.0
51,14.0,1920 x 1080 Pixels,2.1,16.0,256.0,10.0,719.0,Lenovo,3.0,Gray,AMD,1.0
52,15.6,1920 x 1080 Pixels,2.0,16.0,256.0,10.0,619.99,Gateway,4.0,Black,AMD,4.0
53,15.6,1366 x 768 Pixels,1.1,16.0,128.0,7.0,539.0,Dell,3.0,Black,Intel,2.0
54,15.6,1920 x 1080 Pixels,3.4,4.0,128.0,7.0,379.85,ASUS,3.0,Gray,Intel,2.0
55,13.3,2K,4.8,16.0,512.0,7.0,1073.79,Dell,2.0,Silver,Intel,4.0
56,15.6,1920 x 1080 Pixels,2.8,4.0,256.0,7.0,399.99,HP,3.0,Black,Intel,2.0
57,14.0,1366 x 768 Pixels,3.2,8.0,128.0,7.0,419.0,HP,3.0,Silver,AMD,2.0
58,15.6,1366 x 768 Pixels,2.4,4.0,128.0,7.0,365.99,HP,1.0,Red,Intel,2.0
59,15.6,1920 x 1080 Pixels,1.8,32.0,128.0,7.0,1079.99,Dell,3.0,Blue,Intel,8.0
60,14.0,1366 x 768 Pixels,2.6,16.0,128.0,8.0,559.0,HP,3.0,Silver,AMD,2.0
61,15.6,1920 x 1080 Pixels,1.2,16.0,512.0,8.0,589.99,Acer,3.0,Black,Intel,2.0
62,15.6,1920 x 1080 Pixels,4.8,8.0,512.0,7.0,1148.6,ASUS,4.0,Gray,Intel,8.0
63,14.0,1366 x 768 Pixels,1.1,4.0,64.0,7.0,379.99,HP,3.0,Blue,Intel,2.0
64,15.6,1920 x 1080 Pixels,1.6,8.0,256.0,7.0,579.9,Dell,4.0,Black,Intel,4.0
65,11.6,1366 x 768 Pixels,2.0,4.0,64.0,3.0,139.99,HP,2.0,Gray,Intel,8.0
66,11.6,1366 x 768 Pixels,2.8,4.0,64.0,12.0,238.0,ASUS,2.0,Black,Intel,2.0
67,14.0,1366 x 768 Pixels,4.2,8.0,256.0,7.0,679.0,Dell,5.0,Silver,Intel,4.0
68,14.0,1366 x 768 Pixels,1.1,4.0,64.0,7.0,315.0,HP,4.0,Gold,Intel,2.0
69,15.6,1366 x 768 Pixels,1.2,8.0,256.0,7.0,509.99,Lenovo,4.0,Almond,Intel,2.0
70,15.6,1920 x 1080 Pixels,4.1,12.0,256.0,8.0,794.0,HP,4.0,Silver,Intel,4.0
71,15.6,1920 x 1080 Pixels,2.8,8.0,256.0,8.0,399.0,Acer,4.0,Silver,Intel,2.0
72,15.6,1920 x 1080 Pixels,2.1,16.0,128.0,7.0,749.9,Dell,4.0,Black,AMD,4.0
73,14.0,1366 x 768 Pixels,1.1,4.0,64.0,7.0,319.0,HP,3.0,Gold,Intel,2.0
74,17.3,1920 x 1080 Pixels,2.5,8.0,512.0,7.0,849.99,ASUS,5.0,Black,Intel,4.0
75,17.3,1600 x 900 Pixels,2.4,16.0,512.0,7.0,629.99,HP,4.0,Black,AMD,2.0
76,17.3,1600 x 900 Pixels,2.4,16.0,512.0,7.0,629.99,HP,4.0,Black,AMD,2.0
77,14.0,1366 x 768 Pixels,1.1,4.0,64.0,9.0,319.0,HP,3.0,Gold,Intel,2.0
78,15.6,1920 x 1080 Pixels,2.8,12.0,512.0,12.0,849.99,Lenovo,4.0,Gray,Intel,4.0
79,14.0,1366 x 768 Pixels,2.3,4.0,128.0,7.0,337.0,HP,4.0,Silver,AMD,2.0
80,15.6,1920 x 1080 Pixels,1.3,32.0,128.0,10.0,1199.0,HP,3.0,Black,Intel,4.0
81,14.0,1920 x 1080 Pixels,2.3,16.0,256.0,10.0,758.88,Lenovo,3.0,Gray,AMD,6.0
82,15.6,1920 x 1080 Pixels,2.8,16.0,512.0,7.0,1049.0,HP,3.0,Silver,Intel,4.0
83,14.0,1920 x 1080 Pixels,3.3,8.0,128.0,7.0,419.99,HP,3.0,Silver,Intel,4.0
84,15.6,1920 x 1080 Pixels,2.1,16.0,128.0,7.0,789.0,Dell,4.0,Silver,AMD,4.0
85,15.6,1920 x 1080 Pixels,4.2,8.0,512.0,7.0,609.0,AimCare,3.0,Silver,Intel,4.0
86,14.0,1920 x 1080 Pixels,2.3,16.0,256.0,7.0,769.0,Lenovo,3.0,Gray,AMD,6.0
87,17.3,1600 x 900 Pixels,2.6,16.0,256.0,5.0,699.99,HP,4.0,Silver,AMD,2.0
88,14.0,1920 x 1080 Pixels,1.1,12.0,256.0,7.0,379.99,ALLDOCUBE,2.0,Gray,Intel,4.0
89,15.6,1920 x 1080 Pixels,3.5,8.0,128.0,5.0,489.99,Acer,6.0,Silver,AMD,4.0
90,15.6,1366 x 768 Pixels,1.1,16.0,512.0,5.0,519.0,Dell,3.0,Black,Intel,2.0
91,15.6,1366 x 768 Pixels,1.1,8.0,128.0,5.0,449.0,Dell,3.0,Black,Intel,2.0
92,15.6,1920 x 1080 Pixels,4.1,16.0,512.0,9.0,799.99,HP,3.0,Silver,AMD,8.0
93,11.6,2K,2.4,4.0,32.0,12.0,160.41,ASUS,2.0,Silver,Intel,2.0
94,14.0,1920 x 1080 Pixels,3.6,8.0,256.0,9.0,599.0,AimCare,3.0,Silver,Intel,4.0
95,14.0,1366 x 768 Pixels,1.1,4.0,512.0,12.0,259.99,HP,3.0,White,Intel,2.0
96,15.6,1920 x 1080 Pixels,2.6,4.0,128.0,5.0,399.0,HP,3.0,Silver,AMD,2.0
97,14.0,1366 x 768 Pixels,4.1,8.0,256.0,5.0,599.0,HP,3.0,Silver,Intel,2.0
98,15.6,1920 x 1080 Pixels,3.0,8.0,256.0,5.0,753.0,HP,4.0,Silver,AMD,4.0
99,15.6,1366 x 768 Pixels,2.8,16.0,128.0,5.0,559.99,Dell,3.0,Silver,Intel,4.0
100,10.1,1920 x 1200 Pixels,1.1,4.0,128.0,8.0,266.99,ALLDOCUBE,1.0,Gray,Intel,2.0
101,14.0,1920 x 1080 Pixels,2.3,16.0,512.0,5.0,829.9,Dell,5.0,Black,AMD,6.0
102,17.3,1600 x 900 Pixels,2.4,8.0,256.0,5.0,639.0,HP,4.0,Black,AMD,2.0
103,15.6,1920 x 1080 Pixels,4.3,12.0,512.0,5.0,685.0,Lenovo,5.0,Silver,AMD,8.0
104,15.6,1366 x 768 Pixels,1.1,8.0,128.0,5.0,429.0,Dell,3.0,Black,Intel,2.0
105,15.6,1920 x 1080 Pixels,1.2,8.0,512.0,5.0,479.5,Dell,4.0,Silver,Intel,2.0
106,17.3,1600 x 900 Pixels,2.1,8.0,512.0,5.0,726.6,Lenovo,6.0,Blue,AMD,1.0
107,17.3,1920 x 1080 Pixels,1.6,8.0,256.0,6.0,699.0,HP,5.0,Silver,Intel,4.0
108,14.0,1920 x 1080 Pixels,2.7,4.0,64.0,12.0,349.99,Lenovo,4.0,Black,AMD,2.0
109,15.6,1920 x 1080 Pixels,2.1,8.0,512.0,5.0,749.99,HP,3.0,Silver,AMD,6.0
110,15.6,1920 x 1080 Pixels,2.6,8.0,512.0,5.0,758.0,Dell,3.0,Silver,Intel,4.0
111,15.6,1920 x 1080 Pixels,2.4,16.0,512.0,5.0,739.99,Dell,4.0,Black,Intel,4.0
112,15.6,1366 x 768 Pixels,3.5,20.0,512.0,5.0,629.99,Lenovo,5.0,Silver,AMD,2.0
113,15.6,1366 x 768 Pixels,2.1,12.0,256.0,6.0,569.89,Lenovo,5.0,Blue,Intel,2.0
114,15.6,2K,2.4,8.0,128.0,5.0,829.0,Lenovo,4.0,Silver,Intel,4.0
115,15.6,1920 x 1080 Pixels,3.9,8.0,128.0,5.0,469.06,ASUS,3.0,Silver,Intel,2.0
116,15.6,1920 x 1080 Pixels,1.6,8.0,512.0,8.0,459.0,Broage,4.0,Silver,Intel,4.0
117,14.0,1366 x 768 Pixels,2.4,8.0,128.0,5.0,429.0,Lenovo,3.0,Black,Intel,2.0
118,14.0,1366 x 768 Pixels,1.2,8.0,128.0,5.0,489.0,HP,3.0,Silver,Intel,2.0
119,14.0,1920 x 1080 Pixels,9.0,8.0,256.0,5.0,598.95,Dell,3.0,Black,AMD,6.0
120,15.6,1920 x 1080 Pixels,4.1,8.0,256.0,5.0,499.99,HP,5.0,Silver,Intel,2.0
121,15.6,1920 x 1080 Pixels,4.0,16.0,512.0,5.0,639.0,HP,3.0,Silver,AMD,6.0
122,15.6,1366 x 768 Pixels,1.6,16.0,512.0,5.0,1009.0,Dell,3.0,Black,Intel,4.0
123,13.3,1920 x 1080 Pixels,2.4,8.0,128.0,6.0,799.99,ASUS,2.0,Black,Intel,4.0
124,14.0,1366 x 768 Pixels,1.1,4.0,64.0,11.0,299.99,HP,3.0,Blue,Intel,2.0
125,15.6,1920 x 1080 Pixels,2.4,16.0,512.0,5.0,1649.99,MSI,4.0,Black,Intel,8.0
126,14.0,2K,3.0,4.0,512.0,5.0,268.7,HP,3.0,Silver,Intel,2.0
127,14.0,1920 x 1080 Pixels,3.6,8.0,512.0,5.0,598.99,Lenovo,3.0,Silver,Intel,4.0
128,15.6,1920 x 1080 Pixels,1.2,8.0,256.0,5.0,481.0,Lenovo,4.0,Gray,Intel,2.0
129,14.0,1366 x 768 Pixels,2.6,4.0,64.0,5.0,255.99,HP,1.0,Blue,Intel,2.0
130,14.0,1920 x 1080 Pixels,4.1,8.0,128.0,5.0,689.0,Acer,2.0,Silver,AMD,8.0
131,15.6,1920 x 1080 Pixels,1.0,8.0,128.0,9.0,549.0,ASUS,3.0,Gray,Intel,4.0
132,15.6,1920 x 1080 Pixels,4.2,12.0,512.0,5.0,679.89,HP,5.0,Silver,Intel,4.0
133,15.6,1366 x 768 Pixels,3.4,8.0,256.0,5.0,454.9,HP,3.0,Silver,Intel,2.0
134,17.3,1600 x 900 Pixels,3.6,8.0,256.0,5.0,729.0,HP,6.0,Silver,Intel,2.0
135,15.6,1920 x 1080 Pixels,1.1,8.0,256.0,5.0,379.99,TECLAST,3.0,Silver,Intel,4.0
136,15.6,1920 x 1080 Pixels,2.6,8.0,128.0,5.0,529.0,Dell,4.0,White,AMD,2.0
137,15.6,1920 x 1080 Pixels,2.6,16.0,512.0,5.0,538.0,ASUS,3.0,Silver,AMD,2.0
138,15.6,1920 x 1080 Pixels,2.5,8.0,256.0,9.0,749.0,HP,4.0,Silver,Intel,4.0
139,17.3,1600 x 900 Pixels,2.3,12.0,128.0,5.0,705.0,Lenovo,5.0,Gray,AMD,4.0
140,10.1,1024*600,1.96,4.0,32.0,5.0,218.86,Goldengulf,2.0,White,Intel,4.0
141,15.6,1920 x 1080 Pixels,2.4,8.0,512.0,9.0,818.88,Lenovo,4.0,Black,Intel,1.0
142,15.6,1366 x 768 Pixels,1.6,12.0,512.0,5.0,669.0,SHOXLAB,4.0,Blue,Intel,4.0
143,14.0,1920 x 1080 Pixels,2.4,8.0,256.0,8.0,399.99,ALLDOCUBE,2.0,Silver,Intel,2.0
144,17.3,1600 x 900 Pixels,4.1,8.0,256.0,5.0,599.0,HP,5.0,Silver,Intel,2.0
145,15.6,1920 x 1080 Pixels,2.6,8.0,128.0,5.0,529.0,Dell,4.0,White,AMD,2.0
146,15.6,1920 x 1080 Pixels,2.1,16.0,256.0,5.0,689.0,Dell,4.0,White,AMD,4.0
147,15.6,1366 x 768 Pixels,1.2,8.0,256.0,5.0,557.99,HP,3.0,Silver,Intel,2.0
148,14.0,1920 x 1080 Pixels,3.8,4.0,512.0,5.0,539.99,Lenovo,5.0,Silver,AMD,4.0
149,15.6,1920 x 1080 Pixels,2.6,16.0,512.0,5.0,1199.0,MSI,4.0,Black,Intel,6.0
150,14.0,1920 x 1080 Pixels,1.2,8.0,512.0,5.0,399.99,Lenovo,3.0,Gray,Intel,1.0
151,15.6,1920 x 1080 Pixels,1.1,4.0,128.0,8.0,299.0,ASUS,3.0,Black,Intel,2.0
152,11.6,1366 x 768 Pixels,2.8,4.0,32.0,10.0,223.0,Acer,4.0,Black,Intel,2.0
153,13.3,1280×720 Pixels,3.9,16.0,64.0,3.0,973.99,Acer,2.0,Black,Intel,4.0
154,15.6,1920 x 1080 Pixels,4.0,16.0,512.0,5.0,799.0,Dell,3.0,Silver,AMD,6.0
155,17.3,1600 x 900 Pixels,2.1,12.0,128.0,5.0,759.0,HP,5.0,Silver,AMD,6.0
156,13.3,1920 x 1080 Pixels,4.7,8.0,128.0,3.0,899.99,HP,2.0,Silver,Intel,4.0
157,11.6,1920 x 1080 Pixels,2.6,4.0,64.0,10.0,259.99,ASUS,2.0,Black,Intel,2.0
158,15.6,1920 x 1080 Pixels,3.6,8.0,128.0,10.0,559.0,HP,3.0,Silver,Intel,4.0
159,15.6,2K,3.6,8.0,128.0,5.0,447.88,Dell,4.0,Silver,Intel,4.0
160,15.6,1366 x 768 Pixels,1.8,4.0,128.0,5.0,479.0,Toshiba,4.0,Silver,Intel,2.0
161,15.6,1366 x 768 Pixels,1.3,16.0,128.0,5.0,919.0,Dell,3.0,Black,Intel,4.0
162,15.6,1366 x 768 Pixels,4.0,8.0,128.0,10.0,537.0,HP,3.0,Silver,AMD,4.0
163,15.6,1920 x 1080 Pixels,4.1,16.0,128.0,6.0,439.0,Dell,5.0,Silver,Intel,4.0
164,15.6,2K,4.6,32.0,512.0,10.0,2599.99,Acer,4.0,Black,AMD,8.0
165,15.6,1920 x 1080 Pixels,2.3,8.0,256.0,6.0,738.0,Lenovo,6.0,Silver,Intel,2.0
166,15.6,1920 x 1080 Pixels,1.1,4.0,128.0,6.0,329.0,ASUS,4.0,Silver,Intel,2.0
167,14.0,1366 x 768 Pixels,2.4,8.0,128.0,9.0,432.56,HP,3.0,Silver,AMD,2.0
168,13.3,1920 x 1080 Pixels,2.1,4.0,64.0,10.0,355.99,Lenovo,2.0,Gray,Intel,1.0
169,14.0,1366 x 768 Pixels,2.8,4.0,64.0,11.0,279.99,HP,3.0,Gold,Intel,2.0
170,15.6,1920 x 1080 Pixels,2.0,16.0,128.0,6.0,599.99,Dell,4.0,Black,Intel,2.0
171,15.6,1920 x 1080 Pixels,2.6,8.0,256.0,6.0,379.99,TECLAST,3.0,Gray,Intel,4.0
172,13.3,4K,2.8,8.0,256.0,10.0,329.99,ALLDOCUBE,2.0,Gray,Intel,2.0
173,15.6,1920 x 1080 Pixels,1.1,8.0,256.0,8.0,549.0,Acer,5.0,Gray,Intel,4.0
174,15.6,1920 x 1080 Pixels,1.1,8.0,128.0,6.0,409.0,HP,5.0,Black,Intel,2.0
175,15.6,1920 x 1080 Pixels,2.1,20.0,512.0,6.0,769.99,ASUS,5.0,Silver,AMD,4.0
176,15.6,1366 x 768 Pixels,2.6,16.0,256.0,7.0,679.0,HP,3.0,Silver,AMD,2.0
177,17.3,1920 x 1080 Pixels,2.4,16.0,512.0,6.0,839.99,HP,5.0,Silver,Intel,4.0
178,15.6,1920 x 1080 Pixels,2.6,8.0,128.0,6.0,569.0,Dell,4.0,White,AMD,2.0
179,14.0,1920 x 1080 Pixels,3.6,8.0,64.0,6.0,439.0,ASUS,3.0,Silver,Intel,2.0
180,14.0,1366 x 768 Pixels,2.2,4.0,64.0,8.0,389.99,HP,2.0,Black,AMD,2.0
181,15.6,1366 x 768 Pixels,1.1,4.0,128.0,6.0,379.0,HP,5.0,Silver,Intel,1.0
182,14.0,1920 x 1080 Pixels,4.7,12.0,512.0,6.0,905.0,Dell,3.0,Gray,Intel,4.0
183,15.6,1920 x 1080 Pixels,1.0,32.0,128.0,8.0,999.99,HP,3.0,Silver,Intel,4.0
184,15.6,1920 x 1080 Pixels,1.0,8.0,256.0,6.0,554.0,ASUS,5.0,Black,Intel,4.0
185,15.6,1920 x 1080 Pixels,1.7,16.0,512.0,6.0,589.99,Dell,3.0,Black,Intel,2.0
186,17.3,1920 x 1080 Pixels,4.2,12.0,512.0,6.0,799.9,HP,5.0,Silver,Intel,4.0
187,15.6,1920 x 1080 Pixels,3.4,4.0,128.0,8.0,419.0,Acer,4.0,Silver,Intel,2.0
188,14.0,1366 x 768 Pixels,4.1,8.0,128.0,6.0,479.99,HP,5.0,Silver,Intel,2.0
189,14.0,1920 x 1080 Pixels,3.3,8.0,128.0,6.0,419.0,HP,3.0,Silver,Intel,4.0
190,15.6,1366 x 768 Pixels,2.1,16.0,256.0,6.0,649.99,HP,3.0,Gold,AMD,4.0
191,13.3,1920 x 1080 Pixels,4.7,8.0,512.0,11.0,908.9,HP,2.0,Gold,Intel,4.0
192,15.6,1920 x 1080 Pixels,2.8,16.0,512.0,9.0,499.0,HP,3.0,Black,Intel,2.0
193,14.0,1920 x 1080 Pixels,2.1,4.0,64.0,10.0,204.99,Lenovo,3.0,Black,Intel,4.0
194,15.6,1920 x 1080 Pixels,4.5,16.0,512.0,6.0,999.0,GIGABYTE,4.0,Black,Intel,6.0
195,14.0,1920 x 1080 Pixels,1.1,4.0,64.0,12.0,275.58,ASUS,3.0,Silver,Intel,2.0
196,15.6,1920 x 1080 Pixels,2.4,32.0,128.0,6.0,839.0,HP,3.0,Silver,Intel,4.0
197,14.0,1366 x 768 Pixels,1.1,4.0,64.0,11.0,395.77,HP,3.0,Black,Intel,2.0
198,14.0,1366 x 768 Pixels,2.6,8.0,128.0,6.0,456.16,HP,3.0,Black,AMD,2.0
199,14.0,1366 x 768 Pixels,1.1,4.0,64.0,9.0,312.0,HP,3.0,Silver,Intel,2.0
200,15.6,1920 x 1080 Pixels,2.4,16.0,512.0,6.0,749.99,Dell,3.0,Black,Intel,4.0
201,15.6,1366 x 768 Pixels,1.2,8.0,256.0,7.0,466.9,Lenovo,4.0,Blue,Intel,2.0
202,15.6,1920 x 1080 Pixels,9.0,8.0,128.0,6.0,660.0,ASUS,4.0,Silver,Intel,4.0
203,13.3,1920 x 1080 Pixels,4.1,8.0,256.0,14.0,796.99,LG,2.0,White,AMD,8.0
204,15.6,1366 x 768 Pixels,1.2,8.0,256.0,10.0,459.0,HP,5.0,Silver,Intel,2.0
205,15.6,1920 x 1080 Pixels,1.5,8.0,128.0,6.0,339.99,Huashe,5.0,Silver,Intel,4.0
206,15.6,1920 x 1080 Pixels,2.0,16.0,256.0,5.0,899.99,HP,4.0,Silver,Intel,4.0
207,15.6,1366 x 768 Pixels,2.8,16.0,256.0,6.0,649.0,Dell,5.0,Silver,Intel,2.0
208,14.0,2K,4.2,8.0,64.0,6.0,659.99,HP,3.0,Gold,Intel,2.0
209,17.3,1600 x 900 Pixels,3.6,8.0,256.0,6.0,729.88,HP,6.0,Silver,Intel,2.0
210,15.6,1920 x 1080 Pixels,5.0,16.0,512.0,6.0,1257.69,Razer,4.0,Black,Intel,6.0
211,15.6,1366 x 768 Pixels,3.1,16.0,512.0,6.0,598.88,Dell,3.0,Black,Intel,4.0
212,14.0,1920 x 1080 Pixels,4.1,4.0,128.0,6.0,574.99,ASUS,3.0,Black,Intel,2.0
213,15.6,1366 x 768 Pixels,1.2,4.0,128.0,6.0,379.0,HP,3.0,Silver,Intel,4.0
214,15.6,1366 x 768 Pixels,2.6,8.0,128.0,9.0,490.0,HP,3.0,Silver,AMD,2.0
215,15.6,1920 x 1080 Pixels,2.1,16.0,512.0,6.0,869.0,Dell,3.0,Blue,AMD,6.0
216,15.6,1920 x 1080 Pixels,1.0,12.0,512.0,6.0,649.9,Dell,4.0,Silver,Intel,4.0
217,14.0,1366 x 768 Pixels,1.1,8.0,64.0,6.0,379.99,HP,3.0,Black,Intel,2.0
218,17.3,1600 x 900 Pixels,2.3,4.0,512.0,8.0,471.55,HP,4.0,Silver,AMD,2.0
219,15.6,1920 x 1080 Pixels,3.7,8.0,512.0,6.0,721.0,Lenovo,2.0,Gray,Intel,4.0
220,17.3,1920 x 1080 Pixels,1.3,8.0,512.0,6.0,899.0,Dell,7.0,Silver,Intel,4.0
221,15.6,1366 x 768 Pixels,2.7,8.0,128.0,10.0,469.89,HP,3.0,Red,Intel,4.0
222,11.6,1920 x 1080 Pixels,1.2,8.0,256.0,4.0,289.0,Jumper,2.0,Silver,Intel,1.0
223,15.6,1920 x 1080 Pixels,3.7,8.0,512.0,6.0,721.0,Lenovo,2.0,Gray,Intel,4.0
224,17.3,1920 x 1080 Pixels,1.3,8.0,512.0,6.0,899.0,Dell,7.0,Silver,Intel,4.0
225,15.6,1366 x 768 Pixels,2.7,8.0,128.0,10.0,469.89,HP,3.0,Red,Intel,4.0
226,14.0,1920 x 1080 Pixels,1.1,4.0,64.0,11.0,258.88,HP,3.0,White,Intel,2.0
227,17.3,1920 x 1080 Pixels,2.4,16.0,128.0,6.0,869.99,HP,5.0,Silver,Intel,4.0
228,15.6,1920 x 1080 Pixels,2.5,8.0,512.0,6.0,708.99,Evoo,7.0,Silver,Intel,4.0
229,15.6,1920 x 1080 Pixels,1.2,12.0,256.0,6.0,529.99,Lenovo,4.0,Gray,Intel,2.0
230,15.6,1920 x 1080 Pixels,4.0,16.0,512.0,6.0,639.0,HP,3.0,Silver,AMD,6.0
231,15.6,1920 x 1080 Pixels,2.4,16.0,512.0,6.0,749.99,Dell,3.0,Black,Intel,4.0
232,17.3,1920 x 1080 Pixels,4.5,8.0,512.0,6.0,888.0,ASUS,5.0,Black,Intel,4.0
233,15.6,1366 x 768 Pixels,1.0,8.0,256.0,5.0,549.0,Lenovo,4.0,Almond,Intel,2.0
234,15.6,1366 x 768 Pixels,1.1,16.0,256.0,6.0,529.0,Dell,3.0,Black,Intel,4.0
235,14.0,1366 x 768 Pixels,1.1,4.0,64.0,6.0,299.0,HP,3.0,Black,Intel,2.0
236,14.0,1920 x 1080 Pixels,2.4,8.0,256.0,6.0,449.0,Lenovo,3.0,Silver,AMD,1.0
237,15.6,1920 x 1080 Pixels,1.1,4.0,128.0,6.0,329.0,ASUS,4.0,Silver,Intel,2.0
