,Standing screen display size,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours),Price,Brand,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,Screen Resolution,Hardware Platform,Hard Drive Rotational Speed,Graphics Card Ram Size,Rear Webcam Resolution,Voltage,Package Dimensions,National Stock Number,Manufacturer,ASIN,Date First Available
10,15.6 Inches,1920 x 1080 Pixels,2.8 GHz celeron,8 GB DDR4,2.8 GHz,128 GB SSD,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11a",,,9 Hours,399.0,HP,Pavilion,Pavilion,Windows 10,3.86 pounds,14.11 x 9.53 x 0.78 inches,14.11 x 9.53 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,128 GB,Solid State,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
11,15.6 Inches,1920 x 1080 Pixels,3.6 GHz ryzen_5_3500u,8 GB DDR4,2400 MHz,128 GB 128GB SSD + 1TB HDD,AMD Radeon Graphics,AMD,Integrated,802.11ac,2,2,,538.07,ASUS,ASUS VivoBook 15,F512DA-EB51,Windows 10 Home,3.7 pounds,14.1 x 9.1 x 0.75 inches,14.1 x 9.1 x 0.75 inches,Slate Grey,AMD,4,DDR4 SDRAM,256,Solid State,No Optical Drive,AC & Battery,1 Lithium Polymer batteries required. (included),1920 x 1080 pixels,PC,10000 RPM,8 GB,5 MP,19 Volts,,,,,
12,15.6 Inches,1366 x 768 Pixels,1.1 GHz pentium_N5000,8 GB DDR3,2.7 GHz,128 GB SSD,Integrated Intel UHD Graphics,Intel,,"Bluetooth, 802.11a",,,13 Hours,409.0,HP,Premium HP 15.6 Laptop,Premium HP 15.6 Laptop,Windows 10 S,3.92 pounds,14.11 x 9.52 x 0.78 inches,14.11 x 9.52 x 0.78 inches,Scarlet Red,Intel,2,DDR4 SDRAM,128 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
13,15.6 Inches,1366 x 768 Pixels,1.8 GHz celeron_n,8 GB DDR4,2666 MHz,628 GB Hybrid,Intel UHD Graphics,Intel,Integrated,801.11ac,1,2,,405.0,Dell,Dell Inspiron,Dell Inspiron 3000,Windows 10 S,6.32 pounds,19.37 x 12.91 x 2.91 inches,19.37 x 12.91 x 2.91 inches,Black,Intel,2,DDR4 SDRAM,128 GB,ATA,,AC & Battery,,1366x768,PC,,,720 Pixels,,,,,,
14,15.6 Inches,1920 x 1080 Pixels,1.1 GHz celeron_n,4 GB DDR4,2.8 GHz,256 GB SSD,Intel UHD Graphics 600,Intel,Integrated,,,,8 Hours,349.99,ASUS,510,L510,Windows 10,3.6 pounds,9.3 x 14.2 x 0.71 inches,9.3 x 14.2 x 0.71 inches,Blue,Intel,2,DDR4 SDRAM,,Solid State,,Battery Powered,,,PC,,,,,,,,,
15,15.6 Inches,1920 x 1080 Pixels,3.2 GHz athlon,16 GB,,512 GB SSD,AMD Radeon Graphics,AMD,,"802.11a/b/g/n/ac, Bluetooth",,,,549.0,HP,Pavilion,Pavilion,Windows 10,3.75 pounds,14.11 x 9.53 x 0.78 inches,14.11 x 9.53 x 0.78 inches,Natural Silver,AMD,2,DDR4 SDRAM,512 GB,Solid State,,,,,PC,,,,,,,,,
16,14 Inches,1920 x 1080 Pixels,2.4 GHz celeron_n3350,4 GB LPDDR4,,eMMC,Intel HD Graphics 500,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",2,,11 Hours,279.99,HP,HP Chromebook 14 Laptop,14-ca051nr,Chrome OS,3.58 pounds,8.84 x 13.27 x 0.72 inches,8.84 x 13.27 x 0.72 inches,Ceramic White,Intel,2,SDRAM,32,USB,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
17,14 Inches,1366 x 768 Pixels,1.1 GHz celeron,4 GB DDR4,2400 MHz,64 GB emmc,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11ac",,,9 Hours,369.0,HP,HP,HP,Windows 10 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,,Intel,2,DDR4 SDRAM,64 GB,USB 3.1,,AC & Battery,,1366x768,PC,,,,,,,,,
18,15.6 Inches,1920 x 1080 Pixels,2.6 GHz corei5_10300h,16 GB DDR4,2666 MHz,512 GB SSD,Nvidia GTX 1650,NVIDIA,Dedicated,Bluetooth,,3,,784.0,MSI,GL65 Leopard 10SCXK-211,GL65 Leopard 10SCXK-211,Win 10 Home,5.07 pounds,1.08 x 14.08 x 9.76 inches,1.08 x 14.08 x 9.76 inches,Black,Intel,4,,16,Solid State,No Optical Drive,,1 Lithium ion batteries required. (included),1920 x 1080 pixels,PC,,4 GB,,,,,,,
19,15.6 Inches,1366x768 Pixels,1 GHz core_i5_family,12 GB DDR4,,256 GB ssd,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,619.99,HP,15-dy1043dx,dy1043dx,Windows 10,4.8 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,Silver,Intel,4,DDR SDRAM,256,Solid State,BD-R,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
20,15.6 Inches,1366 x 768 Pixels,1 GHz core_i5_1035g1,12 GB DDR4,3.9 GHz,256 GB SSD,Intel UHD Graphics,Intel,Dedicated,802.11a,1,1,8 Hours,608.9,Lenovo,Lenovo Ideapad,82H800KAUS,Windows 10,7.1 ounces,14.26 x 9.98 x 0.78 inches,14.26 x 9.98 x 0.78 inches,Gray,Intel,2,DDR4 SDRAM,512,Solid State,No Optical Drive,AC & Battery,1 Lithium Polymer batteries required. (included),1366x768,PC,,,,,,,,,
21,15.6 Inches,1920 x 1080 Pixels,2.1 GHz ryzen_5,16 GB DDR4,,512 GB SSD,AMD Radeon R5,AMD,Integrated,Bluetooth,,,7 Hours,649.99,HP,HP Notebook,HP,Windows 10 Home,4.2 pounds,,,,AMD,6,DDR4 SDRAM,512 GB,Solid State,,"Corded Electric, Battery Powered",,,PC,,,,,18.5 x 12 x 2.7 inches,,,,
22,15.6 Inches,1366 x 768 Pixels,1.1 GHz celeron_n4020,16 GB DDR4,2.8 GHz,512 GB SSD,Intel UHD 600,Intel,,802.11ac,,,,529.0,Dell,Dell Inspiron,Inspiron 15,Windows 10,4.07 pounds,14.11 x 9.27 x 0.74 inches,14.11 x 9.27 x 0.74 inches,Black,Intel,2,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,,1366x768,PC,,,,,,,,,
23,14 Inches,1920 x 1080 Pixels,4.2 GHz core_i5,12 GB DDR4,,ssd,Intel Iris Xe,Intel,Integrated,"Bluetooth, 802.11ax",,,9 Hours,690.0,HP,14-dw1024nr,14-dw1024nr,Windows 10 Home,3.55 pounds,12.76 x 8.7 x 0.71 inches,12.76 x 8.7 x 0.71 inches,Natural Silver,Intel,4,DDR4 SDRAM,8,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),1920 x 1080 pixels,PC,,,,,,,,,
24,15.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,16 GB DDR4,2.8 GHz,2 TB HDD 5400 rpm,Intel UHD Graphics,Intel,,Bluetooth,,,,529.0,Dell,Dell Inspiron,i3000,Windows 10,3.91 pounds,14.33 x 9.8 x 0.78 inches,14.33 x 9.8 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,2 TB,Serial ATA,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
25,15.6 Inches,1366 x 768 Pixels,2.4 GHz core_i5,,,1 TB SSD,Intel® Iris® Xe Graphics,Intel,,"802.11a/b/g/n/ac, Bluetooth",,,,879.99,HP,,HP Laptop,Windows 10 Home,5.54 pounds,14.1 x 9.5 x 0.8 inches,14.1 x 9.5 x 0.8 inches,,Intel,4,DDR4 SDRAM,,Solid State,,,,,PC,,,,,,,,,
26,15.6 Inches,1920 x 1080 Pixels,2.8 GHz celeron_n4020,8 GB SDRAM,2.8 GHz,,Intel UHD Graphcis,Intel,,"Bluetooth, 802.11a/b/g/n/ac",,,,469.99,HP,,HP,Windows 10 S,3.86 pounds,14.11 x 9.52 x 0.78 inches,14.11 x 9.52 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,512 GB,,No Optical Drive,AC & Battery,1 Lithium ion batteries required.,1920x1080,PC,,,,,,,,,
27,14 Inches,1366 x 768 Pixels,2.6 GHz celeron,8 GB,,64 GB SSD,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11bgn",,,,359.0,HP,Premium,Premium,Windows 10,3.17 pounds,13.27 x 8.9 x 0.7 inches,13.27 x 8.9 x 0.7 inches,Indigo Blue,Intel,2,DDR4 SDRAM,64 GB,Solid State,,,,,PC,,,,,,,,,
28,15.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,16 GB DDR4,2.8 GHz,512 GB SSD,Intel UHD Graphics,Intel,,Bluetooth,,,,559.0,Dell,Dell Inspiron,i3000,Windows 10,3.91 pounds,14.33 x 9.8 x 0.78 inches,14.33 x 9.8 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,512 GB,PCIE x 4,,Battery Powered,,,PC,,,,,,,,,
29,15.6 Inches,1366 x 768 Pixels,3.2 GHz athlon_silver_3050U,16 GB DDR4,3.2 GHz,256 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,9 Hours,529.0,HP,Pavilion,Pavilion,Windows 10,3.75 pounds,14.11 x 9.53 x 0.78 inches,14.11 x 9.53 x 0.78 inches,Rose Gold,AMD,2,DDR4 SDRAM,,Solid State,,Battery Powered,,,PC,,,,,,,,,
30,15.6 Inches,1920x1080,4.6 GHz core_i7,16 GB DDR4,4.6 GHz,SSD,,NVIDIA,RTX 3060,802.11ax,,4,6 Hours,1299.99,Acer,PH315-54-760S,PH315-54-760S,Windows 10 Home,5.06 pounds,14.31 x 10.04 x 0.9 inches,14.31 x 10.04 x 0.9 inches,Black,Intel,8,DDR4 SDRAM,512,Solid State,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),,,,,,,,,,,
31,17.3 Inches,1920 x 1080 Pixels,2.1 GHz amd_r_series,16 GB,,,AMD Radeon Graphics,AMD,,802.11a/b/g/n/ac,,,8 Hours,799.9,HP,,HP,Windows 10,5.25 pounds,15.78 x 10.15 x 0.78 inches,15.78 x 10.15 x 0.78 inches,Silver,AMD,6,DDR4 SDRAM,,,No Optical Drive,AC & Battery,,1920x1080,PC,,,,,,,,,
32,15.6 Inches,1920 x 1080 Pixels,4 GHz amd_r_series,20 GB DDR4,,512 GB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,699.0,Lenovo,IdeaPad,IdeaPad,Windows 10,3.74 pounds,14.25 x 9.98 x 0.79 inches,14.25 x 9.98 x 0.79 inches,Sand,AMD,6,DDR4 SDRAM,512 GB,PCIE x 4,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
33,11.6 Inches,1366 x 768 Pixels,1.1 GHz celeron_n3450,4 GB DDR4,2400 MHz,Flash Memory Solid State,Intel Integrated Graphics,Intel,Integrated,"Bluetooth, 802.11ac",,2,10 Hours,205.0,Lenovo,"Chromebook 3 11""",82BA0003US,Chrome OS,2.42 pounds,11.02 x 7.87 x 0.67 inches,11.02 x 7.87 x 0.67 inches,Onyx Black,Intel,1,DDR4 SDRAM,32,ESATA,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,,,,,,,,,,
34,15.6 Inches,1366 x 768 Pixels,1 GHz core_i5,8 GB DDR4,3.6 GHz,256 GB SSD,Intel UHD Graphics with shared graphics memory,Intel,,Bluetooth,,,,579.0,Dell,Dell Inspiron,Inspiron 3593,Windows 10,4.46 pounds,14.96 x 10.16 x 0.89 inches,14.96 x 10.16 x 0.89 inches,Black,Intel,4,SDRAM,256 GB,Solid State,,Battery Powered,1 Lithium ion batteries required.,,PC,,,,,,,,,
35,15.6 Inches,1920 x 1080 Pixels,1.1 GHz celeron_n4020,16 GB,2.8 GHz,128 GB SSD,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11a",,,,479.99,HP,,15-dw1001wm,"Win 10 s, Windows 10 Home",3.92 pounds,14.1 x 9.5 x 0.8 inches,14.1 x 9.5 x 0.8 inches,,Intel,2,DDR4 SDRAM,,Solid State,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
36,15.6 Inches,1920 x 1080 Pixels,4.2 GHz core_i5,16 GB SDRAM,,256 GB,Intel Iris Xe Graphics,Intel,,802.11ax,,,,719.99,HP,HP,HP,Windows 10,3.75 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,,Intel,4,DDR4 SDRAM,512 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
37,14 Inches,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2.8 GHz,64 GB SSD,Intel UHD Graphics 600,Intel,,802.11ac,,,14 Hours,369.92,HP,HP Stream,DQ0004DX64GB,Win10,4.4 pounds,17.63 x 12.05 x 2.8 inches,17.63 x 12.05 x 2.8 inches,Rose Gold,Intel,2,DDR4 SDRAM,,Solid State,,Battery Powered,1 Lithium Metal batteries required. (included),,PC,,,,,,,,,
38,15.6 Inches,1920 x 1080 Pixels,1.1 GHz celeron,8 GB DDR4,2.8 GHz,128 GB SSD,Intel UHD Graphics 600,Intel,,"Bluetooth, 802.11a",,,,439.0,HP,HP Notebook,Notebook,Windows 10,3.92 pounds,14.11 x 9.53 x 0.78 inches,14.11 x 9.53 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,128 GB,Serial ATA,,"Corded Electric, Battery Powered",1 Lithium ion batteries required. (included),,PC,,,,,,,,,
39,15.6 Inches,1920x1080 Pixels,1.2 GHz core_i3,20 GB SDRAM,,SSD,Intel UHD Graphics,Intel,,802.11ac,1,,5 Hours,525.99,ASUS,VivoBook 15,VivoBook 15,Windows 10 S,3.7 pounds,14.1 x 9.1 x 0.8 inches,14.1 x 9.1 x 0.8 inches,Slate Gray,Intel,2,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,2 MP,,,,,,
40,14 Inches,1366 x 768 Pixels,2.7 GHz celeron,6 GB LPDDR4,2.7 GHz,128 GB SSD,Intel UHD Graphics 600,Intel,,"802.11n, Bluetooth",,,9 Hours,279.0,BiTECOOL,,CosBook,Windows 10,2.7 pounds,12.9 x 8.3 x 0.63 inches,12.9 x 8.3 x 0.63 inches,,Intel,2,DDR4 SDRAM,,Solid State,,Battery Powered,,,PC,,,,,,,,,
41,15.6 Inches,1920 x 1080 Pixels,2 GHz ryzen_7_4700u,8 GB DDR4,4.1 GHz,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,,659.0,HP,HP 15R7,HP 15R7,Windows 10 Home,4.94 pounds,14.11 x 9.5 x 0.78 inches,14.11 x 9.5 x 0.78 inches,,AMD,8,DDR4 SDRAM,512 GB,Unknown,,,,,PC,,,,,,,,,
42,11.6 Inches,1366 x 768 Pixels,2 GHz mediatek_mt8183,4 GB LPDDR4,,32 GB Embedded MultiMediaCard,,Integrated,Integrated,"Bluetooth, 802.11a/b/g/n/ac",2,,15.45 Hours,219.9,HP,HP 11 Chromebook,11a-na0021nr,Chrome OS,2.36 pounds,7.59 x 11.22 x 0.66 inches,7.59 x 11.22 x 0.66 inches,Snow White,Mediatek,8,SDRAM,32,USB,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,Google,,,,,,,,,
43,15.6 Inches,1920 x 1080 Pixels,1.1 GHz celeron_n,,,256 GB SSD,Intel UHD Graphics,Intel,,,,,,399.99,HP,,HP,Windows 10 S,5.37 pounds,,,,Intel,2,DDR4 SDRAM,,Solid State,,,,,PC,,,,,18.98 x 12.09 x 2.91 inches,,,,
44,15.6 Inches,1366 x 768 Pixels,2.8 GHz pentium_N5000,16 GB DDR4,3.1 GHz,128 GB SSD,Intel UHD Graphcis,Intel,,Bluetooth,,,,559.99,Dell,,3502,Windows 10 Home,3.91 pounds,14.33 x 9.8 x 0.78 inches,14.33 x 9.8 x 0.78 inches,,Intel,4,DDR SDRAM,512 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
45,14 Inches,1366 x 768 Pixels,3.2 GHz athlon,8 GB DDR4,3.2 GHz,192 GB SSD,AMD Radeon Graphics,AMD,,802.11ac,,,,419.0,HP,Premium,Premium,Windows 10,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Natural Silver,AMD,2,DDR4 SDRAM,128 GB,Solid State,,"Corded Electric, Battery Powered",,,PC,,,,,,,,,
46,14 Inches,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB SDRAM,2.6 GHz,Embedded MultiMediaCard,,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",1,2,14.25 Hours,285.0,HP,Stream Laptop,9MV74UA#ABA,Windows 10 Home,3.17 pounds,13.27 x 8.9 x 0.7 inches,13.27 x 8.9 x 0.7 inches,Brilliant Black,Intel,2,DDR4 SDRAM,4,,No Optical Drive,Battery Powered,1 Lithium Metal batteries required. (included),,,,,,,,,,,
47,14 Inches,1920 x 1080 Pixels,1.9 GHz amd_ryzen_7,16 GB LPDDR4,,512 GB SSD,NVIDIA GeForce RTX 3050Ti,NVIDIA,Dedicated,802.11ax,,3,12 Hours,1003.25,Acer,SFX14-41G-R1S6,SFX14-41G-R1S6,Windows 10 Home,3.06 pounds,12.71 x 8.35 x 0.7 inches,12.71 x 8.35 x 0.7 inches,Gold,AMD,8,DDR4 SDRAM,512,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,Linux,,4 GB,,,,,,,
48,15.6 Inches,1920 x 1080 Pixels,9 GHz core_i5,12 GB DDR4,,256 GB SSD,Intel® Iris Xe Graphics,Intel,,Bluetooth,,,,639.0,Dell,Dell Inspiron,i3501-5081BLK-PUS,Windows 10,1 pounds,9.1 x 9.1 x 9.1 inches,9.1 x 9.1 x 9.1 inches,,Intel,4,DDR DRAM,256 GB,Solid State,,Battery Powered,1 Lithium ion batteries required.,,PC,,,,,,,,,
49,15.6 Inches,1366 x 768 Pixels,2.8 GHz celeron,8 GB DDR4,2.8 GHz,256 GB SSD,Intel UHD Graphics 600,Intel,,Bluetooth,,,,439.0,Dell,Inspiron,Inspiron,Windows 10,3.64 pounds,14.11 x 9.27 x 0.74 inches,14.11 x 9.27 x 0.74 inches,Black,Intel,2,DDR4 SDRAM,256 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
50,15.6 Inches,1920 x 1080 Pixels,2.4 GHz pentium,8 GB,,256 GB SSD,Intel UHD Graphics,Intel,,"Bluetooth, 2.4 GHz Radio Frequency",,,,429.0,Lenovo,IdeaPad,IdeaPad,Windows 10,3.75 pounds,14.26 x 9.98 x 0.78 inches,14.26 x 9.98 x 0.78 inches,Almond,Intel,2,DDR4 SDRAM,,Solid State,,,,,PC,,,,,,,,,
51,14 Inches,1920 x 1080 Pixels,2.1 GHz ryzen_5_4500u,16 GB DDR4,2.1,256 GB flash memory solid state,AMD Integrated Graphics,AMD,Integrated,802.11ac,,2,10 Hours,719.0,Lenovo,"Flex 5 14""",81X20005US,Windows 10,3.63 pounds,12.66 x 8.56 x 0.82 inches,12.66 x 8.56 x 0.82 inches,Graphite Grey,AMD,1,DDR4 SDRAM,,Solid State,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,
52,15.6 Inches,1920 x 1080 Pixels,2 GHz amd_r_series,16 GB DDR4,3.5 GHz,256 GB SSD,Amd,AMD,,Bluetooth,,,10 Hours,619.99,Gateway,GWTN156,GWTN 156,Windows 10,4 pounds,14.8 x 9.6 x 0.78 inches,14.8 x 9.6 x 0.78 inches,Purple,AMD,4,DDR4 SDRAM,,Solid State,,Battery Powered,,,PC,,,,,,,,,
53,15.6 Inches,1366 x 768 Pixels,1.1 GHz celeron,16 GB DDR4,2.8 GHz,1 TB HDD 5400 rpm,Intel UHD Graphics,Intel,,Bluetooth,,,,539.0,Dell,Dell Inspiron,i3000,Windows 10,3.91 pounds,14.33 x 9.8 x 0.78 inches,14.33 x 9.8 x 0.78 inches,Black,Intel,2,DDR4 SDRAM,16 GB,Serial ATA,,Battery Powered,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
54,15.6 Inches,1920 x 1080 Pixels,3.4 GHz core_i3,4 GB DDR4,3.4 GHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11ac",2,2,,379.85,ASUS,VivoBook 15,F515JA-AH31,Windows 10 S,3.97 pounds,14.2 x 9.2 x 0.78 inches,14.2 x 9.2 x 0.78 inches,Slate Grey,Intel,2,DDR4 SDRAM,128,USB 3.2,No Optical Drive,,1 Lithium Polymer batteries required. (included),1920 x 1080,PC,,4 GB,,19 Volts,,,,,
55,13.3 Inches,2560 x 1600 Pixels,4.8 GHz core_i7,16 GB LPDDR4,4267 MHz,512 GB SSD,NVIDIA GeForce MX450 with 2GB GDDR6,NVIDIA,NVIDA GeForce MX450,Bluetooth,,2,,1073.79,Dell,Inspiron 13 5310,i5310-7916SLV-PUS,Windows 10 Home,2.78 pounds,8.27 x 11.68 x 0.68 inches,8.27 x 11.68 x 0.68 inches,Silver,Intel,4,DDR4 SDRAM,512,Solid State,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),2560 x 1600 pixels,PC,,2 GB,0.92 MP,,,,,,
